Stock Name,Date,Open,High,Low,Close,Volume,Chg%
Hindalco Industries Ltd.,2020-08-27 00:00:00,193.5,195.65,192.6,194.9,7660000.0,0.72
Bajaj Auto Ltd.,2023-08-25 00:00:00,4624.0,4646.9,4569.75,4584.05,293380.0,-1.0
Apollo Hospitals Enterprises Ltd.,2020-01-07 00:00:00,1475.0,1498.95,1472.55,1478.7,365270.0,1.11
Power Grid Corporation of India Ltd.,2021-07-12 00:00:00,127.88,128.47,126.5,126.94,5580000.0,-0.54
HCL Technologies Ltd.,2019-10-27 00:00:00,569.0,569.83,562.55,565.25,303920.0,-0.31
Tata Consultancy Services Ltd.,2023-02-17 00:00:00,3526.15,3538.9,3490.0,3501.15,1060000.0,-1.6
Apollo Hospitals Enterprises Ltd.,2020-12-10 00:00:00,2454.95,2454.95,2370.0,2393.05,1120000.0,-2.03
Bajaj Finserv Ltd.,2020-04-13 00:00:00,484.4,484.4,446.94,449.14,8920000.0,-6.82
Axis Bank Ltd.,2020-06-03 00:00:00,422.0,432.0,405.25,409.55,49060000.0,-0.13
Oil And Natural Gas Corporation Ltd.,2021-08-02 00:00:00,114.95,117.5,114.8,117.1,10900000.0,1.56
Asian Paints Ltd.,2021-11-30 00:00:00,3116.15,3189.0,3116.15,3143.65,2340000.0,-0.02
IndusInd Bank Ltd.,2021-03-10 00:00:00,1043.15,1060.0,1033.05,1039.85,8830000.0,1.47
Hindalco Industries Ltd.,2023-02-27 00:00:00,415.0,415.0,401.5,411.8,8300000.0,-0.83
Bharat Petroleum Corp. Ltd.,2022-12-14 00:00:00,346.7,350.8,345.7,348.75,4820000.0,0.75
Britannia Industries Ltd.,2021-06-23 00:00:00,3652.0,3684.3,3631.0,3659.3,379000.0,0.23
JSW Steel Ltd.,2023-10-04 00:00:00,767.95,768.0,753.15,756.6,1650000.0,-1.77
Divi's Laboratories Ltd.,2021-02-04 00:00:00,3713.95,3724.75,3651.0,3678.9,908880.0,-0.04
Tata Motors Ltd.,2021-08-17 00:00:00,302.8,302.8,292.8,297.7,25540000.0,-1.98
Hindalco Industries Ltd.,2022-06-13 00:00:00,377.8,377.8,360.5,366.45,12270000.0,-5.0
ICICI Bank Ltd.,2023-05-26 00:00:00,939.8,952.45,935.55,950.7,10960000.0,1.15
Tata Steel Ltd.,2022-01-07 00:00:00,116.52,117.4,114.79,116.04,39740000.0,-0.25
Tata Motors Ltd.,2023-02-10 00:00:00,437.95,447.8,431.2,445.85,14800000.0,2.08
Eicher Motors Ltd.,2022-10-18 00:00:00,3532.3,3622.0,3529.95,3612.5,522360.0,2.78
Adani Ports and Special Economic Zone Ltd.,2022-10-31 00:00:00,824.0,831.0,819.5,823.55,4490000.0,0.4
Bajaj Finserv Ltd.,2020-07-31 00:00:00,622.0,630.5,612.0,620.59,7500000.0,0.46
Adani Enterprises Ltd.,2023-05-11 00:00:00,1925.0,2013.75,1910.0,1984.65,8840000.0,4.89
Sun Pharmaceutical Industries Ltd.,2022-07-05 00:00:00,829.4,846.8,826.65,835.8,2680000.0,0.77
Reliance Industries Ltd.,2023-07-24 00:00:00,2481.0,2514.95,2469.3,2487.4,11860000.0,-2.02
Tata Motors Ltd.,2020-07-03 00:00:00,102.85,106.35,102.1,103.45,87310000.0,1.87
UltraTech Cement Ltd.,2020-08-26 00:00:00,4170.0,4181.8,4070.0,4079.65,574770.0,-2.22
LTIMindtree Ltd.,2020-11-02 00:00:00,2893.75,2948.63,2824.9,2846.95,279550.0,-2.24
Asian Paints Ltd.,2021-07-29 00:00:00,3004.1,3039.95,2990.3,2997.45,762680.0,-0.22
Asian Paints Ltd.,2023-04-06 00:00:00,2807.45,2825.0,2786.8,2809.85,627550.0,0.05
JSW Steel Ltd.,2020-01-13 00:00:00,278.05,279.9,275.4,278.6,4540000.0,0.25
State Bank Of India,2022-11-07 00:00:00,613.0,622.7,607.7,614.15,44270000.0,3.4
Hindustan Unilever Ltd.,2019-10-17 00:00:00,2067.5,2108.0,2061.95,2103.85,2000000.0,1.59
Tech Mahindra Ltd.,2022-12-07 00:00:00,1086.0,1087.3,1074.2,1078.05,1480000.0,-0.99
Grasim Industries Ltd.,2022-12-15 00:00:00,1822.8,1825.3,1778.0,1786.9,317750.0,-1.92
Hindalco Industries Ltd.,2020-01-20 00:00:00,210.1,210.8,206.75,207.3,3980000.0,-1.31
Hero MotoCorp Ltd.,2023-09-28 00:00:00,3006.5,3018.2,2960.05,2970.0,332000.0,-1.21
Larsen & Toubro Ltd.,2020-12-15 00:00:00,1250.0,1252.0,1216.1,1246.25,6950000.0,-0.27
HDFC Life Insurance Company Ltd.,2020-07-14 00:00:00,592.5,609.0,592.5,598.45,3650000.0,-0.31
Hero MotoCorp Ltd.,2019-10-18 00:00:00,2625.26,2658.26,2602.14,2642.39,1180000.0,0.64
HCL Technologies Ltd.,2022-01-28 00:00:00,1079.0,1102.2,1077.25,1080.45,7650000.0,0.25
Maruti Suzuki India Ltd.,2023-01-24 00:00:00,8450.0,8718.0,8417.0,8698.8,1040000.0,3.35
Adani Ports and Special Economic Zone Ltd.,2022-02-28 00:00:00,690.0,709.65,684.5,707.5,4290000.0,1.78
SBI Life Insurance Company Ltd.,2023-08-04 00:00:00,1258.95,1287.15,1254.0,1267.9,1610000.0,1.13
Tata Steel Ltd.,2020-10-20 00:00:00,39.2,39.74,38.96,39.24,109500000.0,-0.78
ITC Ltd.,2020-08-24 00:00:00,197.25,199.0,196.35,196.7,14740000.0,-0.05
HDFC Life Insurance Company Ltd.,2020-08-17 00:00:00,591.4,594.2,585.95,589.1,1340000.0,0.23
HDFC Life Insurance Company Ltd.,2020-06-19 00:00:00,517.95,524.0,514.35,521.1,4570000.0,1.0
Asian Paints Ltd.,2023-02-17 00:00:00,2802.95,2845.85,2785.5,2833.6,840530.0,0.99
State Bank Of India,2020-02-04 00:00:00,302.9,307.55,297.1,306.25,51140000.0,2.73
Tata Steel Ltd.,2021-07-30 00:00:00,145.57,147.27,142.78,143.43,140490000.0,-1.67
NTPC Ltd.,2022-05-11 00:00:00,154.05,156.95,150.05,152.55,13790000.0,-1.87
Grasim Industries Ltd.,2021-01-11 00:00:00,993.6,1006.47,988.72,998.52,1250000.0,0.0
Bajaj Finserv Ltd.,2022-03-31 00:00:00,1710.0,1730.0,1698.2,1706.05,2990000.0,-0.4
IndusInd Bank Ltd.,2019-10-23 00:00:00,1339.0,1347.95,1309.65,1332.6,3000000.0,-0.63
Hindustan Unilever Ltd.,2020-11-20 00:00:00,2135.0,2142.0,2100.5,2120.25,2830000.0,-0.49
Axis Bank Ltd.,2022-07-06 00:00:00,652.0,659.4,651.0,657.95,6680000.0,1.46
State Bank Of India,2021-10-18 00:00:00,494.0,501.0,491.7,497.95,20080000.0,1.5
Bajaj Finance Ltd.,2020-12-15 00:00:00,4889.95,5150.0,4868.85,5122.5,5940000.0,4.57
